"kant","bezirk","nr","name","bazirkname","kantonname"
"ZH",101,1,"Aeugst am Albis","Bezirk Affoltern","Zürich"
"ZH",101,2,"Affoltern am Albis","Bezirk Affoltern","Zürich"
"ZH",101,3,"Bonstetten","Bezirk Affoltern","Zürich"
"ZH",101,4,"Hausen am Albis","Bezirk Affoltern","Zürich"
"ZH",101,5,"Hedingen","Bezirk Affoltern","Zürich"
"ZH",101,6,"Kappel am Albis","Bezirk Affoltern","Zürich"
"ZH",101,7,"Knonau","Bezirk Affoltern","Zürich"
"ZH",101,8,"Maschwanden","Bezirk Affoltern","Zürich"
"ZH",101,9,"Mettmenstetten","Bezirk Affoltern","Zürich"
"ZH",101,10,"Obfelden","Bezirk Affoltern","Zürich"
"ZH",101,11,"Ottenbach","Bezirk Affoltern","Zürich"
"ZH",101,12,"Rifferswil","Bezirk Affoltern","Zürich"
"ZH",101,13,"Stallikon","Bezirk Affoltern","Zürich"
"ZH",101,14,"Wettswil am Albis","Bezirk Affoltern","Zürich"
"ZH",102,21,"Adlikon","Bezirk Andelfingen","Zürich"
"ZH",102,22,"Benken (ZH)","Bezirk Andelfingen","Zürich"
"ZH",102,23,"Berg am Irchel","Bezirk Andelfingen","Zürich"
"ZH",102,24,"Buch am Irchel","Bezirk Andelfingen","Zürich"
"ZH",102,25,"Dachsen","Bezirk Andelfingen","Zürich"
"ZH",102,26,"Dorf","Bezirk Andelfingen","Zürich"
"ZH",102,27,"Feuerthalen","Bezirk Andelfingen","Zürich"
"ZH",102,28,"Flaach","Bezirk Andelfingen","Zürich"
"ZH",102,29,"Flurlingen","Bezirk Andelfingen","Zürich"
"ZH",102,30,"Andelfingen","Bezirk Andelfingen","Zürich"
"ZH",102,31,"Henggart","Bezirk Andelfingen","Zürich"
"ZH",102,32,"Humlikon","Bezirk Andelfingen","Zürich"
"ZH",102,33,"Kleinandelfingen","Bezirk Andelfingen","Zürich"
"ZH",102,34,"Laufen-Uhwiesen","Bezirk Andelfingen","Zürich"
"ZH",102,35,"Marthalen","Bezirk Andelfingen","Zürich"
"ZH",102,37,"Ossingen","Bezirk Andelfingen","Zürich"
"ZH",102,38,"Rheinau","Bezirk Andelfingen","Zürich"
"ZH",102,39,"Thalheim an der Thur","Bezirk Andelfingen","Zürich"
"ZH",102,40,"Trüllikon","Bezirk Andelfingen","Zürich"
"ZH",102,41,"Truttikon","Bezirk Andelfingen","Zürich"
"ZH",102,43,"Volken","Bezirk Andelfingen","Zürich"
"ZH",103,51,"Bachenbülach","Bezirk Bülach","Zürich"
"ZH",103,52,"Bassersdorf","Bezirk Bülach","Zürich"
"ZH",103,53,"Bülach","Bezirk Bülach","Zürich"
"ZH",103,54,"Dietlikon","Bezirk Bülach","Zürich"
"ZH",103,55,"Eglisau","Bezirk Bülach","Zürich"
"ZH",103,56,"Embrach","Bezirk Bülach","Zürich"
"ZH",103,57,"Freienstein-Teufen","Bezirk Bülach","Zürich"
"ZH",103,58,"Glattfelden","Bezirk Bülach","Zürich"
"ZH",103,59,"Hochfelden","Bezirk Bülach","Zürich"
"ZH",103,60,"Höri","Bezirk Bülach","Zürich"
"ZH",103,61,"Hüntwangen","Bezirk Bülach","Zürich"
"ZH",103,62,"Kloten","Bezirk Bülach","Zürich"
"ZH",103,63,"Lufingen","Bezirk Bülach","Zürich"
"ZH",103,64,"Nürensdorf","Bezirk Bülach","Zürich"
"ZH",103,65,"Oberembrach","Bezirk Bülach","Zürich"
"ZH",103,66,"Opfikon","Bezirk Bülach","Zürich"
"ZH",103,67,"Rafz","Bezirk Bülach","Zürich"
"ZH",103,68,"Rorbas","Bezirk Bülach","Zürich"
"ZH",103,69,"Wallisellen","Bezirk Bülach","Zürich"
"ZH",103,70,"Wasterkingen","Bezirk Bülach","Zürich"
"ZH",103,71,"Wil (ZH)","Bezirk Bülach","Zürich"
"ZH",103,72,"Winkel","Bezirk Bülach","Zürich"
"ZH",104,81,"Bachs","Bezirk Dielsdorf","Zürich"
"ZH",104,82,"Boppelsen","Bezirk Dielsdorf","Zürich"
"ZH",104,83,"Buchs (ZH)","Bezirk Dielsdorf","Zürich"
"ZH",104,84,"Dällikon","Bezirk Dielsdorf","Zürich"
"ZH",104,85,"Dänikon","Bezirk Dielsdorf","Zürich"
"ZH",104,86,"Dielsdorf","Bezirk Dielsdorf","Zürich"
"ZH",104,87,"Hüttikon","Bezirk Dielsdorf","Zürich"
"ZH",104,88,"Neerach","Bezirk Dielsdorf","Zürich"
"ZH",104,89,"Niederglatt","Bezirk Dielsdorf","Zürich"
"ZH",104,90,"Niederhasli","Bezirk Dielsdorf","Zürich"
"ZH",104,91,"Niederweningen","Bezirk Dielsdorf","Zürich"
"ZH",104,92,"Oberglatt","Bezirk Dielsdorf","Zürich"
"ZH",104,93,"Oberweningen","Bezirk Dielsdorf","Zürich"
"ZH",104,94,"Otelfingen","Bezirk Dielsdorf","Zürich"
"ZH",104,95,"Regensberg","Bezirk Dielsdorf","Zürich"
"ZH",104,96,"Regensdorf","Bezirk Dielsdorf","Zürich"
"ZH",104,97,"Rümlang","Bezirk Dielsdorf","Zürich"
"ZH",104,98,"Schleinikon","Bezirk Dielsdorf","Zürich"
"ZH",104,99,"Schöfflisdorf","Bezirk Dielsdorf","Zürich"
"ZH",104,100,"Stadel","Bezirk Dielsdorf","Zürich"
"ZH",104,101,"Steinmaur","Bezirk Dielsdorf","Zürich"
"ZH",104,102,"Weiach","Bezirk Dielsdorf","Zürich"
"ZH",105,111,"Bäretswil","Bezirk Hinwil","Zürich"
"ZH",105,112,"Bubikon","Bezirk Hinwil","Zürich"
"ZH",105,113,"Dürnten","Bezirk Hinwil","Zürich"
"ZH",105,114,"Fischenthal","Bezirk Hinwil","Zürich"
"ZH",105,115,"Gossau (ZH)","Bezirk Hinwil","Zürich"
"ZH",105,116,"Grüningen","Bezirk Hinwil","Zürich"
"ZH",105,117,"Hinwil","Bezirk Hinwil","Zürich"
"ZH",105,118,"Rüti (ZH)","Bezirk Hinwil","Zürich"
"ZH",105,119,"Seegräben","Bezirk Hinwil","Zürich"
"ZH",105,120,"Wald (ZH)","Bezirk Hinwil","Zürich"
"ZH",105,121,"Wetzikon (ZH)","Bezirk Hinwil","Zürich"
"ZH",106,131,"Adliswil","Bezirk Horgen","Zürich"
"ZH",106,135,"Kilchberg (ZH)","Bezirk Horgen","Zürich"
"ZH",106,136,"Langnau am Albis","Bezirk Horgen","Zürich"
"ZH",106,137,"Oberrieden","Bezirk Horgen","Zürich"
"ZH",106,138,"Richterswil","Bezirk Horgen","Zürich"
"ZH",106,139,"Rüschlikon","Bezirk Horgen","Zürich"
"ZH",106,141,"Thalwil","Bezirk Horgen","Zürich"
"ZH",107,151,"Erlenbach (ZH)","Bezirk Meilen","Zürich"
"ZH",107,152,"Herrliberg","Bezirk Meilen","Zürich"
"ZH",107,153,"Hombrechtikon","Bezirk Meilen","Zürich"
"ZH",107,154,"Küsnacht (ZH)","Bezirk Meilen","Zürich"
"ZH",107,155,"Männedorf","Bezirk Meilen","Zürich"
"ZH",107,156,"Meilen","Bezirk Meilen","Zürich"
"ZH",107,157,"Oetwil am See","Bezirk Meilen","Zürich"
"ZH",107,158,"Stäfa","Bezirk Meilen","Zürich"
"ZH",107,159,"Uetikon am See","Bezirk Meilen","Zürich"
"ZH",107,160,"Zumikon","Bezirk Meilen","Zürich"
"ZH",107,161,"Zollikon","Bezirk Meilen","Zürich"
"ZH",108,172,"Fehraltorf","Bezirk Pfäffikon","Zürich"
"ZH",108,173,"Hittnau","Bezirk Pfäffikon","Zürich"
"ZH",108,176,"Lindau","Bezirk Pfäffikon","Zürich"
"ZH",108,177,"Pfäffikon","Bezirk Pfäffikon","Zürich"
"ZH",108,178,"Russikon","Bezirk Pfäffikon","Zürich"
"ZH",108,180,"Weisslingen","Bezirk Pfäffikon","Zürich"
"ZH",108,181,"Wila","Bezirk Pfäffikon","Zürich"
"ZH",108,182,"Wildberg","Bezirk Pfäffikon","Zürich"
"ZH",109,191,"Dübendorf","Bezirk Uster","Zürich"
"ZH",109,192,"Egg","Bezirk Uster","Zürich"
"ZH",109,193,"Fällanden","Bezirk Uster","Zürich"
"ZH",109,194,"Greifensee","Bezirk Uster","Zürich"
"ZH",109,195,"Maur","Bezirk Uster","Zürich"
"ZH",109,196,"Mönchaltorf","Bezirk Uster","Zürich"
"ZH",109,197,"Schwerzenbach","Bezirk Uster","Zürich"
"ZH",109,198,"Uster","Bezirk Uster","Zürich"
"ZH",109,199,"Volketswil","Bezirk Uster","Zürich"
"ZH",109,200,"Wangen-Brüttisellen","Bezirk Uster","Zürich"
"ZH",110,211,"Altikon","Bezirk Winterthur","Zürich"
"ZH",110,213,"Brütten","Bezirk Winterthur","Zürich"
"ZH",110,214,"Dägerlen","Bezirk Winterthur","Zürich"
"ZH",110,215,"Dättlikon","Bezirk Winterthur","Zürich"
"ZH",110,216,"Dinhard","Bezirk Winterthur","Zürich"
"ZH",110,218,"Ellikon an der Thur","Bezirk Winterthur","Zürich"
"ZH",110,219,"Elsau","Bezirk Winterthur","Zürich"
"ZH",110,220,"Hagenbuch","Bezirk Winterthur","Zürich"
"ZH",110,221,"Hettlingen","Bezirk Winterthur","Zürich"
"ZH",110,223,"Neftenbach","Bezirk Winterthur","Zürich"
"ZH",110,224,"Pfungen","Bezirk Winterthur","Zürich"
"ZH",110,225,"Rickenbach (ZH)","Bezirk Winterthur","Zürich"
"ZH",110,226,"Schlatt (ZH)","Bezirk Winterthur","Zürich"
"ZH",110,227,"Seuzach","Bezirk Winterthur","Zürich"
"ZH",110,228,"Turbenthal","Bezirk Winterthur","Zürich"
"ZH",110,230,"Winterthur","Bezirk Winterthur","Zürich"
"ZH",110,231,"Zell (ZH)","Bezirk Winterthur","Zürich"
"ZH",111,241,"Aesch (ZH)","Bezirk Dietikon","Zürich"
"ZH",111,242,"Birmensdorf (ZH)","Bezirk Dietikon","Zürich"
"ZH",111,243,"Dietikon","Bezirk Dietikon","Zürich"
"ZH",111,244,"Geroldswil","Bezirk Dietikon","Zürich"
"ZH",111,245,"Oberengstringen","Bezirk Dietikon","Zürich"
"ZH",111,246,"Oetwil an der Limmat","Bezirk Dietikon","Zürich"
"ZH",111,247,"Schlieren","Bezirk Dietikon","Zürich"
"ZH",111,248,"Uitikon","Bezirk Dietikon","Zürich"
"ZH",111,249,"Unterengstringen","Bezirk Dietikon","Zürich"
"ZH",111,250,"Urdorf","Bezirk Dietikon","Zürich"
"ZH",111,251,"Weiningen (ZH)","Bezirk Dietikon","Zürich"
"ZH",112,261,"Zürich","Bezirk Zürich","Zürich"
"ZH",102,292,"Stammheim","Bezirk Andelfingen","Zürich"
"ZH",106,293,"Wädenswil","Bezirk Horgen","Zürich"
"ZH",110,294,"Elgg","Bezirk Winterthur","Zürich"
"ZH",106,295,"Horgen","Bezirk Horgen","Zürich"
"ZH",108,296,"Illnau-Effretikon","Bezirk Pfäffikon","Zürich"
"ZH",108,297,"Bauma","Bezirk Pfäffikon","Zürich"
"ZH",110,298,"Wiesendangen","Bezirk Winterthur","Zürich"